"","lat","lon"
"1",32.674458,-117.240426
"2",32.839578,-117.276187
"3",32.840128,-117.27381
"4",32.845847,-117.268673
"5",32.849312,-117.261752
"6",32.798101,-117.24825
"7",32.796529,-117.245834
"8",32.799294,-117.242774
"9",32.79965,-117.241202
"10",32.800124,-117.239063
"11",32.745067,-117.235749
"12",32.800877,-117.235567
"13",32.742869,-117.233536
"14",32.801713,-117.231749
"15",32.738147,-117.229704
"16",32.740256,-117.229295
"17",32.752661,-117.226733
"18",32.728943,-117.226535
"19",32.800913,-117.225849
"20",32.753402,-117.224077
"21",32.868293,-117.225183
"22",32.805504,-117.221214
"23",32.755674,-117.221094
"24",32.75393,-117.218141
"25",32.752436,-117.215847
"26",32.802273,-117.217839
"27",32.807744,-117.210697
"28",32.774686,-117.206214
"29",32.854345,-117.206106
"30",32.773327,-117.203984
"31",32.833072,-117.202867
"32",32.828136,-117.202426
"33",32.832711,-117.200822
"34",32.768909,-117.191138
"35",32.759253,-117.190504
"36",32.834321,-117.182855
"37",32.876884,-117.18299
"38",32.727782,-117.182286
"39",32.751711,-117.178611
"40",32.834277,-117.179192
"41",32.751728,-117.175166
"42",32.877937,-117.168657
"43",32.715569,-117.166685
"44",32.749774,-117.166312
"45",32.715598,-117.164952
"46",32.832818,-117.162957
"47",32.748197,-117.162926
"48",32.791162,-117.163215
"49",32.715614,-117.162107
"50",32.878963,-117.162609
"51",32.71566,-117.160297
"52",32.748209,-117.160581
"53",32.715664,-117.159474
"54",32.766747,-117.158463
"55",32.711436,-117.155796
"56",32.748318,-117.155463
"57",32.881777,-117.15625
"58",32.711468,-117.153989
"59",32.715701,-117.154013
"60",32.794851,-117.154588
"61",32.748348,-117.153665
"62",32.748362,-117.151339
"63",32.706214,-117.149702
"64",32.711429,-117.149603
"65",32.703815,-117.14776
"66",32.711441,-117.146849
"67",32.715721,-117.14595
"68",32.711465,-117.145042
"69",32.762411,-117.145107
"70",32.701541,-117.14448
"71",32.706217,-117.144075
"72",32.888037,-117.145451
"73",32.706225,-117.142551
"74",32.832661,-117.146141
"75",32.75514,-117.142636
"76",32.748372,-117.14274
"77",32.889577,-117.142795
"78",32.711515,-117.140397
"79",32.715753,-117.140765
"80",32.748374,-117.140187
"81",32.706303,-117.138221
"82",32.716805,-117.138291
"83",32.755164,-117.137718
"84",32.762805,-117.137701
"85",32.912669,-117.13907
"86",32.692725,-117.136004
"87",32.702145,-117.135475
"88",32.70632,-117.134665
"89",32.716831,-117.134305
"90",32.912745,-117.135774
"91",32.755177,-117.13284
"92",32.74836,-117.132934
"93",32.695852,-117.132229
"94",32.822113,-117.131906
"95",32.809744,-117.132036
"96",32.711565,-117.130433
"97",32.831265,-117.131262
"98",32.762827,-117.130376
"99",32.748336,-117.130241
"100",32.74103,-117.129481
"101",32.701115,-117.129668
"102",32.706343,-117.129623
"103",32.692751,-117.129296
"104",32.716809,-117.1304
"105",32.721221,-117.129511
"106",32.915895,-117.129972
"107",32.762836,-117.128372
"108",32.711577,-117.127533
"109",32.822199,-117.128746
"110",32.701137,-117.125436
"111",32.706373,-117.125394
"112",32.711595,-117.1254
"113",32.831275,-117.127017
"114",32.775516,-117.12709
"115",32.831328,-117.126265
"116",32.711682,-117.122407
"117",32.701153,-117.122716
"118",32.706669,-117.122715
"119",32.763295,-117.12299
"120",32.755155,-117.122499
"121",32.755154,-117.117522
"122",32.808356,-117.12313
"123",32.776671,-117.120392
"124",32.695941,-117.119027
"125",32.75513,-117.118186
"126",32.695948,-117.1172
"127",32.763252,-117.117414
"128",32.75513,-117.115867
"129",32.704804,-117.114777
"130",32.7551,-117.113859
"131",32.695978,-117.112565
"132",32.70121,-117.112642
"133",32.704811,-117.112661
"134",32.749646,-117.111975
"135",32.75508,-117.112002
"136",32.777858,-117.115407
"137",32.696013,-117.108281
"138",32.960686,-117.111006
"139",32.704755,-117.108782
"140",32.724346,-117.105247
"141",32.696025,-117.106175
"142",32.71139,-117.105707
"143",32.700483,-117.104596
"144",32.763173,-117.104316
"145",32.711398,-117.102927
"146",32.696415,-117.103062
"147",32.677562,-117.100406
"148",32.963371,-117.103129
"149",32.728334,-117.100155
"150",32.700454,-117.099297
"151",32.704062,-117.098146
"152",32.696708,-117.093202
"153",32.700405,-117.093982
"154",32.792896,-117.094257
"155",32.749474,-117.093522
"156",32.792913,-117.092174
"157",32.749453,-117.090201
"158",32.75623,-117.090272
"159",32.75669,-117.086929
"160",32.792838,-117.08535
"161",32.757876,-117.078627
"162",32.748994,-117.08377
"163",32.792836,-117.083677
"164",32.644515,-117.081772
"165",32.697845,-117.081531
"166",32.7928,-117.081549
"167",32.757676,-117.079695
"168",32.771053,-117.079704
"169",32.698806,-117.077711
"170",32.758148,-117.076892
"171",32.727606,-117.076993
"172",32.761953,-117.066863
"173",32.699355,-117.07491
"174",32.715818,-117.075351
"175",32.743409,-117.071296
"176",32.71,-117.071626
"177",32.70142,-117.071097
"178",33.022667,-117.070534
"179",32.573762,-117.063038
"180",32.709673,-117.064132
"181",32.770411,-117.06473
"182",32.709878,-117.062558
"183",33.01929,-117.065459
"184",32.74399,-117.061295
"185",33.018544,-117.063165
"186",32.70123,-117.059097
"187",32.769071,-117.057346
"188",32.710718,-117.055637
"189",32.701171,-117.055391
"190",32.755231,-117.053852
"191",32.768139,-117.054481
"192",32.711255,-117.051328
"193",32.711802,-117.049539
"194",32.702518,-117.049584
"195",32.755068,-117.049622
"196",32.702751,-117.044948
"197",32.703165,-117.042949
"198",32.768729,-117.040566
"199",32.768633,-117.037985
"200",32.70288,-117.03731
"201",32.7574,-117.037449
"202",32.768199,-117.03359
"203",32.797859,-117.035211
"204",32.715367,-117.032011
"205",32.742496,-117.030915
"206",32.761958,-117.030408
"207",32.795305,-117.028335
"208",32.764145,-117.027018
"209",32.697677,-117.02511
"210",32.717545,-117.026117
"211",32.765777,-117.025048
"212",32.712157,-117.024967
"213",32.794045,-117.024171
"214",32.765964,-117.021517
"215",32.793547,-117.020744
"216",32.765915,-117.019588
"217",32.767805,-117.015427
"218",32.714228,-117.0128
"219",32.769344,-117.011003
"220",32.709168,-117.009255
"221",32.770425,-117.008508
"222",32.802796,-117.008673
"223",32.772304,-117.006042
"224",32.839152,-117.277924
"225",32.845184,-117.273406
"226",32.847411,-117.266943
"227",32.808093,-117.26131
"228",32.79503,-117.2527
"229",32.797376,-117.251519
"230",32.771914,-117.250426
"231",32.795427,-117.250901
"232",32.770881,-117.246712
